_id,state.environment,state.map,state.turbine,state.binary,results.profit,changedSimSpeed,correctPower,results.correct,results.medianTimeOnTask,results.over,results.under,results.score,repairedTurbine,turbineOnOff,results.name,userId
ObjectId(5a9670c9907a2e77c94aba86),seashore,,,"0,0,0,1,0,,",true,false,true,2.3255809767441904,0,26.910299730897002,70.76411929235881,,true,true,ΑΓΓΠΑΝ,482cdd0ddf63fc3e9672cbcf04b65d78ae701ea3
ObjectId(5a9670c9907a2e77c94aba87),mountains,4,A,"0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1",true,false,true,9.915013274482652,0,18.41359966475119,71.67138706076615,3,true,true,ΚΑΤΦΡΑ,e61fbfa5efe75393d7e05f4d3bf86d7d73ee02b6
ObjectId(5a9670c9907a2e77c94aba88),mountains,1,A,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1",true,false,true,12.252961370275829,0,14.229246613601036,73.51779201612312,9,true,true,ΙΑΣΔΑΡ,75cf54350e6b038ced0646dcb68f122eb6b8acc6
ObjectId(5a9670c9907a2e77c94aba89),fields,4,B,"0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.41747572815534,0.5,0.5",true,true,true,0,0,21.341459095776408,78.6585409042236,5,true,true,ΔΗΜΓΑΡ,8674f47fe3d4fd268842a24f692a7885254ea3ff
ObjectId(5a9670c9907a2e77c94aba8a),mountains,1,,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,",true,true,true,2.3255809767441904,0,18.6046498139535,79.06976920930232,7,true,true,ΒΑΣΑΡ,d366e82dfa5a626d489269f489a832b267e7c4b9
ObjectId(5a9670c9907a2e77c94aba8b),mountains,1,A,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1",true,true,true,0,0,12.5,87.5,,false,true,ΔΗΜΓΑΡ,3b326ba85b7e8df57d98008b9ae82bdb930c9344
ObjectId(5a9670c9907a2e77c94aba8c),,,,,,false,,,,,,,false,false,,fbde2dc2062cb235e4723402eebbbeb88fd92d45
ObjectId(5a9670c9907a2e77c94aba8d),mountains,4,H,"0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.223300970873786,0.5,0.25",true,false,true,17.27574896345506,0,7.641195541528267,75.08305549501668,4,true,true,A,a31aceb88ef7dbe8d388bc0752b5acf1bc3a12f0
ObjectId(5a9670c9907a2e77c94aba8e),mountains,3,A,"0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1",true,false,true,0,0,17.921151593633173,82.07884840636683,7,true,true,ΤΣΑΚΑΤ,ee8cbd6caaa86c8cdff173a3b942d6a216e65f10
ObjectId(5a9670c9907a2e77c94aba8f),mountains,1,A,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1",true,false,true,1.3043477726011394,0,30.43478746793902,68.26086475945984,9,true,true,ΠΕΤΚΟΝΤ,841c2afbbfe976ee11cdf6824bfa0679baa58981
ObjectId(5a9670c9907a2e77c94aba90),mountains,,,"0,0,1,0,0,,",,false,false,,,,,,true,true,,4da3deda4d0fbd9e75c5d09c5e1ac7bdf60f6fc8
ObjectId(5a9670c9907a2e77c94aba91),,,,,,false,,,,,,,false,false,,0e14d35b798481894eef131edbc47ab510d21cc7
ObjectId(5a9670c9907a2e77c94aba92),,,,,,false,,,,,,,false,false,,ab25928bb7671548980f0f64e4785ec5d00cd7ed
ObjectId(5a9670c9907a2e77c94aba93),fields,2,E,"0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.223300970873786,0.5,0.25",true,false,true,12.95681,0,33.22259,53.82059999999999,4,true,true,ΓΙΑΓΙΟ,841d3a09b6ddd2b79caedaf80a9106f67fdda112
ObjectId(5a9670c9907a2e77c94aba94),,,,",,",,false,false,0,1,35.71429,64.28571,,false,true,ΓΙΑΓΙΟ,9a8721ace2632bf21672283e959bb86c6669117b
ObjectId(5a9670c9907a2e77c94aba95),,2,B,",0,0,0,0,0,0,0,0,1,0,0,0,0.41747572815534,0.5,0.5",true,false,true,3.32225903322259,0,19.933550199335503,76.7441907674419,,true,true,ΖΑΧΜΑΡ,af337659994bc8d3e77228565c327365168f1370
ObjectId(5a9670c9907a2e77c94aba96),,,B,",,0,0,0.41747572815534,0.5,0.5",,false,true,0.33222591362126247,1,23.58804096710968,76.07973311926905,,true,true,ΠΕΤΚΟΝΤ,eddb189b2d3e7e673a1e77f0ad87c4d95ae36112
ObjectId(5a9670c9907a2e77c94aba97),fields,4,A,"0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1",true,false,true,0.3322259136212625,0,47.50830194784039,52.15947213853836,8,true,true,ΜΑΝΑΝΤ,4db972d0d6fcef2a673d9aeb6f47385cabdfc443
ObjectId(5a9670c9907a2e77c94aba98),,,,,,false,,,,,,,false,false,,5af37c0bd874a86c435585b554c7e889c7bb66ab
ObjectId(5a9670c9907a2e77c94aba99),,1,A,",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1",,false,false,0,0,19.9335519933552,80.0664480066448,,true,true,ΓΙΑΘΑΝ,31b4d2e33666d10d44a0b9f36e071c607b255005
ObjectId(5a9670c9907a2e77c94aba9a),,1,A,",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1",true,false,true,3.1446540047070908,0,25.157230144574942,71.69811585071797,4,true,true,ΣΤΡΚΑΤ,8f335c04e48faa2bfbb75ba7b7b5768fb615f083
ObjectId(5a9670c9907a2e77c94aba9b),,,,",,",,false,false,,,,,,false,false,,1abf86750cc726aac6860c8505000bc3ca2bf179
ObjectId(5a9670c9907a2e77c94aba9c),,,,,,false,,,,,,,false,false,,5be636c4095ae632d89e653d8421d3868628cd97
ObjectId(5a9670c9907a2e77c94aba9d),,,,",,",,false,,,,,,,false,false,,fdbf5adb8f59ab12713656e21753fc81c99aa63e
ObjectId(5a9670c9907a2e77c94aba9e),,,,",,",,false,,,,,,,false,false,,2522c39f80303af5226ea6d3047da3b5b3d98bfe
ObjectId(5a9670c9907a2e77c94aba9f),,,,,,false,,,,,,,false,false,,be74e1702994be11e63d5210d63d0c452abfc02f
ObjectId(5a9670c9907a2e77c94abaa0),,,,",,",,false,true,,,,,,true,true,,439eca4b468fa241e4c831360dff87b032dc75fd
ObjectId(5a9670c9907a2e77c94abaa1),seashore,3,I,"0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.105263157894737,0",true,false,true,12.95681,1,33.22259,53.82059999999999,,true,true,ΚΩΝΚΑΤ,4b6053631b8cb2d3dc54da904f90d0d2d0db3ce8
ObjectId(5a9670c9907a2e77c94abaa2),,,A,",,0,0,1,1,1",true,true,true,15.105743752795163,3,27.190329661375916,57.703926585828924,9,true,true,ΚΕΧΘΑΝ,84320b8fd30e7e99cacb8e8821598aa83cfc40b8
ObjectId(5a9670c9907a2e77c94abaa3),,,A,",,0,0,1,1,1",,false,true,,,,,,true,true,,f290f77d4a2478dca2be1990cc7770413398a304
ObjectId(5a9670c9907a2e77c94abaa4),,2,,",0,0,0,0,0,0,0,0,1,0,",,false,true,,,,,,true,true,,ccda210426908a14302b1c11bf6ced1584e0ed5d
ObjectId(5a9670c9907a2e77c94abaa5),mountains,3,,"0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,",,false,false,,,,,,true,true,,9ba45585e30cd46ac5b625e95725d72327542cda
ObjectId(5a9670c9907a2e77c94abaa6),fields,1,D,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.41747572815534,0.5,0.5",true,true,false,0.6644517880398678,0,35.88039935415281,63.455148857807316,,true,true,ΑΚΗΚΡΟ,d6a4289aea58e6deb2d33854d6be2e3b04d76f7b
ObjectId(5a9670c9907a2e77c94abaa7),mountains,1,,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,",true,true,true,16.6113,0,29.90033,53.48837,9,true,true,ΚΕΧΘΑΝ,4ae87af9f95eb6de42aae0c721ce3a702df101c8
ObjectId(5a9670c9907a2e77c94abaa8),,,,,,false,,,,,,,false,false,,3a7f3cf1e558913ea73804be86a968b92c68f2ff
ObjectId(5a9670c9907a2e77c94abaa9),fields,4,B,"0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.41747572815534,0.5,0.5",true,false,true,0,0,29.90033,70.09967,7,true,true,ΑΚΗΚΡΟ,c2f3b7a5594bd4a330e1e635c7e1d774f091c530
ObjectId(5a9670c9907a2e77c94abaaa),mountains,3,D,"0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.41747572815534,0.5,0.5",,true,true,,,,,,true,true,,a270c1db75ae2952d36558043b8588612a70f61e
ObjectId(5a9670c9907a2e77c94abaab),fields,,,"0,0,0,0,1,,",true,true,true,6.9536439517457085,0,26.490066027147915,66.55629002110639,,true,true,ΑΛΕΜΠΙ,39e9189dfec0ae31f8895dad1b7e8fade3d2c501
ObjectId(5a9670c9907a2e77c94abaac),,,A,",,0,0,1,1,1",,false,true,,,,,,true,true,,1c7ce053f3e5ab7141b0e82053b2bb7039e3aff2
ObjectId(5a9670c9907a2e77c94abaad),,,,,,false,,,,,,,false,false,,a53db930af8651f5c90d495bb1433bbf345a802d
ObjectId(5a9670c9907a2e77c94abaae),fields,2,E,"0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.223300970873786,0.5,0.25",false,false,true,0,0,0,100,,true,true,ΛΥΔΚΩΝ,cae913527798660eb4aadf0bc6b1ecfff1fed0b4
