_id,addTurbine,changedPower,changedSimSpeed,changedWind,correctPower,powerStats.correct,powerStats.medianTimeOnTask,powerStats.over,powerStats.under,repairedTurbine,turbineOnOff,userId
ObjectId(5a4ab25e3a1bab5bf9fc29da),false,false,false,false,,,,,,false,false,394779057.1486104878
ObjectId(5a4ab25e3a1bab5bf9fc29db),true,false,false,false,,,,,,false,false,471193548.1486371501
ObjectId(5a4ab25e3a1bab5bf9fc29dc),true,false,false,false,,,,,,false,false,1523318114.1486661404
ObjectId(5a4ab25e3a1bab5bf9fc29dd),false,false,false,false,,,,,,false,false,1778541616.1486633931
ObjectId(5a4ab25e3a1bab5bf9fc29de),false,false,false,false,,,,,,false,false,2096846276.1486730586
ObjectId(5a4ab25e3a1bab5bf9fc29df),false,false,false,false,,,,,,false,false,940682356.1487025551
ObjectId(5a4ab25e3a1bab5bf9fc29e0),false,false,false,false,,,,,,false,false,1468679869.1487074997
ObjectId(5a4ab25e3a1bab5bf9fc29e1),true,false,false,false,,,,,,false,false,1943712803.1487111578
ObjectId(5a4ab25e3a1bab5bf9fc29e2),true,false,false,false,,,,,,false,false,1115512518.1487431112
ObjectId(5a4ab25e3a1bab5bf9fc29e3),true,false,false,false,,,,,,false,false,370710244.1487692554
ObjectId(5a4ab25e3a1bab5bf9fc29e4),true,false,false,false,,,,,,false,false,18902582.1487794093
ObjectId(5a4ab25e3a1bab5bf9fc29e5),false,false,false,false,,,,,,false,false,1499245900.1487721600
ObjectId(5a4ab25e3a1bab5bf9fc29e6),false,false,false,false,,,,,,false,false,168123322.1487873158
ObjectId(5a4ab25e3a1bab5bf9fc29e7),true,false,false,false,,,,,,false,false,493479254.1487861066
ObjectId(5a4ab25e3a1bab5bf9fc29e8),true,false,false,false,,,,,,false,false,1371047533.1488224492
ObjectId(5a4ab25e3a1bab5bf9fc29e9),true,false,false,false,,,,,,false,false,1916745181.1488310997
ObjectId(5a4ab25e3a1bab5bf9fc29ea),false,false,false,false,,,,,,false,false,2035809347.1488284543
ObjectId(5a4ab25e3a1bab5bf9fc29eb),false,false,false,false,,,,,,false,false,333521575.1487249492
ObjectId(5a4ab25e3a1bab5bf9fc29ec),false,false,false,false,,,,,,false,false,486747472.1488284636
ObjectId(5a4ab25e3a1bab5bf9fc29ed),false,false,false,false,,,,,,false,false,766948555.1488322789
ObjectId(5a4ab25e3a1bab5bf9fc29ee),false,false,false,false,,,,,,false,false,1045458352.1488358418
ObjectId(5a4ab25e3a1bab5bf9fc29ef),false,false,false,false,,,,,,false,false,1139293643.1488380193
ObjectId(5a4ab25e3a1bab5bf9fc29f0),false,false,false,false,,,,,,false,false,1426898976.1488358907
ObjectId(5a4ab25e3a1bab5bf9fc29f1),false,false,false,false,,,,,,false,false,165290890.1488351620
ObjectId(5a4ab25e3a1bab5bf9fc29f2),false,false,false,false,,,,,,false,false,2037341545.1488376898
ObjectId(5a4ab25e3a1bab5bf9fc29f3),true,false,false,false,,,,,,false,false,2083876598.1488354523
ObjectId(5a4ab25e3a1bab5bf9fc29f4),false,false,false,false,,,,,,false,false,265156922.1488373604
ObjectId(5a4ab25e3a1bab5bf9fc29f5),true,false,false,false,,,,,,false,false,294846751.1488375731
ObjectId(5a4ab25e3a1bab5bf9fc29f6),false,false,false,false,,,,,,false,false,394779057.1488393758
ObjectId(5a4ab25e3a1bab5bf9fc29f7),true,false,false,false,,,,,,false,false,51680778.1488356242
ObjectId(5a4ab25e3a1bab5bf9fc29f8),false,false,false,false,,,,,,false,false,818838928.1488399039
ObjectId(5a4ab25e3a1bab5bf9fc29f9),true,false,false,false,,,,,,false,false,870852119.1488357230
ObjectId(5a4ab25e3a1bab5bf9fc29fa),true,false,false,false,,,,,,false,false,982076830.1488381317
ObjectId(5a4ab25e3a1bab5bf9fc29fb),false,false,false,false,,,,,,false,false,655149388.1488460704
ObjectId(5a4ab25e3a1bab5bf9fc29fc),true,false,false,false,,,,,,false,false,797896018.1488464764
ObjectId(5a4ab25e3a1bab5bf9fc29fd),true,false,false,false,,,,,,false,false,1175202886.1488528703
ObjectId(5a4ab25e3a1bab5bf9fc29fe),true,false,false,false,,,,,,false,false,1151099816.1488824985
ObjectId(5a4ab25e3a1bab5bf9fc29ff),false,false,false,false,,,,,,false,false,122391215.1488911939
ObjectId(5a4ab25e3a1bab5bf9fc2a00),true,false,false,false,,,,,,false,false,311659493.1488914308
ObjectId(5a4ab25e3a1bab5bf9fc2a01),false,false,false,false,,,,,,false,false,365515328.1488912737
ObjectId(5a4ab25e3a1bab5bf9fc2a02),true,false,false,false,,,,,,false,false,1843566253.1488290532
ObjectId(5a4ab25e3a1bab5bf9fc2a03),false,false,false,false,,,,,,false,false,2112202974.1489161706
ObjectId(5a4ab25e3a1bab5bf9fc2a04),false,false,false,false,,,,,,false,false,706107145.1489331642
ObjectId(5a4ab25e3a1bab5bf9fc2a05),false,false,false,false,,,,,,false,false,1478248998.1489426778
ObjectId(5a4ab25e3a1bab5bf9fc2a06),true,false,false,false,,,,,,false,false,800725198.1489418881
ObjectId(5a4ab25e3a1bab5bf9fc2a07),false,false,false,false,,,,,,false,false,125488296.1489685046
ObjectId(5a4ab25e3a1bab5bf9fc2a08),true,false,false,false,,,,,,false,false,1929273842.1489665626
ObjectId(5a4ab25e3a1bab5bf9fc2a09),false,false,false,false,,,,,,false,false,353847404.1489670938
ObjectId(5a4ab25e3a1bab5bf9fc2a0a),false,false,false,false,,,,,,false,false,394779057.1489668235
ObjectId(5a4ab25e3a1bab5bf9fc2a0b),true,false,false,false,,,,,,false,false,86853342.1489665522
ObjectId(5a4ab25e3a1bab5bf9fc2a0c),false,false,false,false,,,,,,false,false,963208447.1489775055
ObjectId(5a4ab25e3a1bab5bf9fc2a0d),false,false,false,false,,,,,,false,false,1830885111.1490029457
ObjectId(5a4ab25e3a1bab5bf9fc2a0e),true,false,false,false,,,,,,false,false,1934372172.1490024596
ObjectId(5a4ab25e3a1bab5bf9fc2a0f),true,false,false,false,,,,,,false,false,2030734630.1478982713
ObjectId(5a4ab25e3a1bab5bf9fc2a10),false,false,false,false,,,,,,false,false,1473454456.1487808000
ObjectId(5a4ab25e3a1bab5bf9fc2a11),true,false,false,false,,,,,,false,false,1481896242.1490163574
ObjectId(5a4ab25e3a1bab5bf9fc2a12),false,false,false,false,,,,,,false,false,412598884.1490205170
ObjectId(5a4ab25e3a1bab5bf9fc2a13),false,false,false,false,,,,,,false,false,1300435094.1490264341
ObjectId(5a4ab25e3a1bab5bf9fc2a14),false,false,false,false,,,,,,false,false,1766055166.1487327981
ObjectId(5a4ab25e3a1bab5bf9fc2a15),true,false,false,false,,,,,,false,false,1993334953.1490291647
ObjectId(5a4ab25e3a1bab5bf9fc2a16),true,false,false,false,,,,,,false,false,567986300.1490470148
ObjectId(5a4ab25e3a1bab5bf9fc2a17),false,false,false,false,,,,,,false,false,436391673.1487873792
ObjectId(5a4ab25e3a1bab5bf9fc2a18),false,false,false,false,,,,,,false,false,1212533741.1490596307
ObjectId(5a4ab25e3a1bab5bf9fc2a19),true,false,false,false,,,,,,false,false,311335216.1490619487
ObjectId(5a4ab25e3a1bab5bf9fc2a1a),true,false,false,false,,,,,,false,false,1495798328.1490721904
ObjectId(5a4ab25e3a1bab5bf9fc2a1b),false,false,false,false,,,,,,false,false,164842831.1490785547
ObjectId(5a4ab25e3a1bab5bf9fc2a1c),false,false,false,false,,,,,,false,false,418127848.1490885277
ObjectId(5a4ab25e3a1bab5bf9fc2a1d),false,false,false,false,,,,,,false,false,788748342.1490873785
ObjectId(5a4ab25e3a1bab5bf9fc2a1e),true,false,false,false,,,,,,false,false,128919211.1491326409
ObjectId(5a4ab25e3a1bab5bf9fc2a1f),false,false,false,false,,,,,,false,false,688833315.1491331096
ObjectId(5a4ab25e3a1bab5bf9fc2a20),false,false,false,false,,,,,,false,false,1418520468.1492003170
ObjectId(5a4ab25e3a1bab5bf9fc2a21),true,false,false,false,,,,,,false,false,1432991670.1491992686
ObjectId(5a4ab25e3a1bab5bf9fc2a22),false,false,false,false,,,,,,false,false,1720600879.1492034074
ObjectId(5a4ab25e3a1bab5bf9fc2a23),false,false,false,false,,,,,,false,false,1499245900.1490400000
ObjectId(5a4ab25e3a1bab5bf9fc2a24),false,false,false,false,,,,,,false,false,394779057.1492225157
ObjectId(5a4ab25e3a1bab5bf9fc2a25),false,false,false,false,,,,,,false,false,429653023.1492375087
ObjectId(5a4ab25e3a1bab5bf9fc2a26),true,false,false,false,,,,,,false,false,1860978899.1492518874
ObjectId(5a4ab25e3a1bab5bf9fc2a27),true,false,false,false,,,,,,false,false,1736330610.1492606415
ObjectId(5a4ab25e3a1bab5bf9fc2a28),true,false,false,false,,,,,,false,false,600865076.1489651132
ObjectId(5a4ab25e3a1bab5bf9fc2a29),false,false,false,false,,,,,,false,false,1576468636.1492692620
ObjectId(5a4ab25e3a1bab5bf9fc2a2a),true,false,false,false,,,,,,false,false,2104917858.1492682340
ObjectId(5a4ab25e3a1bab5bf9fc2a2b),true,false,false,false,,,,,,false,false,939191274.1492679742
ObjectId(5a4ab25e3a1bab5bf9fc2a2c),false,false,false,false,,,,,,false,false,1499245900.1492992000
ObjectId(5a4ab25e3a1bab5bf9fc2a2d),false,false,false,false,,,,,,false,false,645008777.1493199747
ObjectId(5a4ab25e3a1bab5bf9fc2a2e),true,false,false,false,,,,,,false,false,2032032034.1493302074
ObjectId(5a4ab25e3a1bab5bf9fc2a2f),false,false,false,false,,,,,,false,false,1050072792.1444634000
ObjectId(5a4ab25e3a1bab5bf9fc2a30),false,false,false,false,,,,,,false,false,1898962596.1468484524
ObjectId(5a4ab25e3a1bab5bf9fc2a31),false,false,false,false,,,,,,false,false,199155436.1493462963
ObjectId(5a4ab25e3a1bab5bf9fc2a32),false,false,false,false,,,,,,false,false,1539345865.1493583254
ObjectId(5a4ab25e3a1bab5bf9fc2a33),false,false,false,false,,,,,,false,false,394779057.1493586163
ObjectId(5a4ab25e3a1bab5bf9fc2a34),false,false,false,false,,,,,,false,false,883347285.1493632055
ObjectId(5a4ab25e3a1bab5bf9fc2a35),true,false,false,false,,,,,,false,false,1010843215.1493813821
ObjectId(5a4ab25e3a1bab5bf9fc2a36),true,false,false,false,,,,,,false,false,1055526434.1493813423
ObjectId(5a4ab25e3a1bab5bf9fc2a37),false,false,false,false,,,,,,false,false,1185467221.1493827591
ObjectId(5a4ab25e3a1bab5bf9fc2a38),true,false,false,false,,,,,,false,false,1187904088.1493813392
ObjectId(5a4ab25e3a1bab5bf9fc2a39),false,false,false,false,,,,,,false,false,1322773457.1493824687
ObjectId(5a4ab25e3a1bab5bf9fc2a3a),true,false,false,false,,,,,,false,false,1373420474.1493813448
ObjectId(5a4ab25e3a1bab5bf9fc2a3b),false,false,false,false,,,,,,false,false,1570147586.1493813415
ObjectId(5a4ab25e3a1bab5bf9fc2a3c),true,false,false,false,,,,,,false,false,1648578197.1493813356
ObjectId(5a4ab25e3a1bab5bf9fc2a3d),true,false,false,false,,,,,,false,false,1651464921.1493824836
ObjectId(5a4ab25e3a1bab5bf9fc2a3e),false,false,false,false,,,,,,false,false,1700538130.1493813472
ObjectId(5a4ab25e3a1bab5bf9fc2a3f),true,false,false,false,,,,,,false,false,1797417514.1493813418
ObjectId(5a4ab25e3a1bab5bf9fc2a40),false,false,false,false,,,,,,false,false,1812435523.1493815020
ObjectId(5a4ab25e3a1bab5bf9fc2a41),true,false,false,false,,,,,,false,false,1857076354.1493811562
ObjectId(5a4ab25e3a1bab5bf9fc2a42),false,false,false,false,,,,,,false,false,2035584545.1493829742
ObjectId(5a4ab25e3a1bab5bf9fc2a43),false,false,false,false,,,,,,false,false,280191096.1493813456
ObjectId(5a4ab25e3a1bab5bf9fc2a44),false,false,false,false,,,,,,false,false,431795465.1493825593
ObjectId(5a4ab25e3a1bab5bf9fc2a45),true,false,false,false,,,,,,false,false,443662198.1493813442
ObjectId(5a4ab25e3a1bab5bf9fc2a46),false,false,false,false,,,,,,false,false,525450005.1493824683
ObjectId(5a4ab25e3a1bab5bf9fc2a47),true,false,false,false,,,,,,false,false,544247378.1493813472
ObjectId(5a4ab25e3a1bab5bf9fc2a48),true,false,false,false,,,,,,false,false,628689887.1493813746
ObjectId(5a4ab25e3a1bab5bf9fc2a49),false,false,false,false,,,,,,false,false,721182863.1493813444
ObjectId(5a4ab25e3a1bab5bf9fc2a4a),true,false,false,false,,,,,,false,false,787151326.1493813474
ObjectId(5a4ab25e3a1bab5bf9fc2a4b),false,false,false,false,,,,,,false,false,983060875.1493825591
ObjectId(5a4ab25e3a1bab5bf9fc2a4c),false,false,false,false,,,,,,false,false,1737903293.1493911322
ObjectId(5a4ab25e3a1bab5bf9fc2a4d),false,false,false,false,,,,,,false,false,781384885.1493880005
ObjectId(5a4ab25e3a1bab5bf9fc2a4e),false,false,false,false,,,,,,false,false,1086418176.1491378585
ObjectId(5a4ab25e3a1bab5bf9fc2a4f),true,false,false,false,,,,,,false,false,2129153646.1494099510
ObjectId(5a4ab25e3a1bab5bf9fc2a50),false,false,false,false,,,,,,false,false,947458262.1494319116
ObjectId(5a4ab25e3a1bab5bf9fc2a51),true,false,false,false,,,,,,false,false,1486301273.1494407430
ObjectId(5a4ab25e3a1bab5bf9fc2a52),true,false,false,false,,,,,,false,false,433504826.1494429373
ObjectId(5a4ab25e3a1bab5bf9fc2a53),false,false,false,false,,,,,,false,false,4466796.1494435149
ObjectId(5a4ab25e3a1bab5bf9fc2a54),false,false,false,false,,,,,,false,false,1150234775.1494492333
ObjectId(5a4ab25e3a1bab5bf9fc2a55),true,false,false,false,,,,,,false,false,1228770129.1494608128
ObjectId(5a4ab25e3a1bab5bf9fc2a56),true,false,false,false,,,,,,false,false,1631639682.1494843919
ObjectId(5a4ab25e3a1bab5bf9fc2a57),true,false,false,false,,,,,,false,false,301634721.1494843981
ObjectId(5a4ab25e3a1bab5bf9fc2a58),true,true,true,true,false,,,,,false,true,89ea6356-e71c-44cf-8640-0dc3a463500a
ObjectId(5a4ab25e3a1bab5bf9fc2a59),false,false,false,false,,,,,,false,false,1037296474.1495037466
ObjectId(5a4ab25e3a1bab5bf9fc2a5a),false,false,false,false,,,,,,false,false,1473454456.1492992000
ObjectId(5a4ab25e3a1bab5bf9fc2a5b),false,false,false,false,,,,,,false,false,1730114459.1495014618
ObjectId(5a4ab25e3a1bab5bf9fc2a5c),false,true,true,true,false,,,,,false,false,26622883-6422-462f-91e3-caef979b4a85
ObjectId(5a4ab25e3a1bab5bf9fc2a5d),true,true,true,true,false,,,,,false,false,56070254-a3e6-42a6-ad94-7812f8be643f
ObjectId(5a4ab25e3a1bab5bf9fc2a5e),true,true,true,true,false,,,,,false,false,e84139e3-f792-495b-a8c8-1048b1ebe55a
ObjectId(5a4ab25e3a1bab5bf9fc2a5f),false,false,false,false,,,,,,false,false,330181656.1495208467
ObjectId(5a4ab25e3a1bab5bf9fc2a60),false,false,false,false,,,,,,false,false,516031693.1495447236
ObjectId(5a4ab25e3a1bab5bf9fc2a61),true,false,false,false,,,,,,false,false,1693050209.1495612813
ObjectId(5a4ab25e3a1bab5bf9fc2a62),false,false,false,false,,,,,,false,false,1631915737.1495739798
ObjectId(5a4ab25e3a1bab5bf9fc2a63),false,false,false,false,,,,,,false,false,1120344435.1495789888
ObjectId(5a4ab25e3a1bab5bf9fc2a64),true,false,false,false,,,,,,false,false,428838445.1493132845
ObjectId(5a4ab25e3a1bab5bf9fc2a65),true,true,true,true,false,,,,,false,false,7354e666-8d8a-4be3-8c4b-36de1797cc77
ObjectId(5a4ab25e3a1bab5bf9fc2a66),false,false,false,false,,,,,,false,false,1473454456.1495584000
ObjectId(5a4ab25e3a1bab5bf9fc2a67),false,false,false,false,,,,,,false,false,2108762447.1495958108
ObjectId(5a4ab25e3a1bab5bf9fc2a68),false,false,false,false,,,,,,false,false,1879669760.1496054788
ObjectId(5a4ab25e3a1bab5bf9fc2a69),true,false,false,false,,,,,,false,false,1898366086.1496069330
ObjectId(5a4ab25e3a1bab5bf9fc2a6a),true,true,true,true,false,,,,,false,false,282cd8b3-27a6-4b1a-a7d4-e4a4a7840ac3
ObjectId(5a4ab25e3a1bab5bf9fc2a6b),true,true,true,true,false,,,,,false,false,2cb5a46b-5d39-4c71-947f-5ef9a8f9975c
ObjectId(5a4ab25e3a1bab5bf9fc2a6c),false,false,false,false,,,,,,false,false,729325056.1496054282
ObjectId(5a4ab25e3a1bab5bf9fc2a6d),false,true,true,true,false,,,,,false,false,f173bdbc-3e59-4242-83f1-ddb3100c501a
ObjectId(5a4ab25e3a1bab5bf9fc2a6e),true,true,true,true,false,,,,,false,false,2a38740a-f036-47c9-9a87-071929d93e8f
ObjectId(5a4ab25e3a1bab5bf9fc2a6f),false,false,false,false,,,,,,false,false,434757250.1496103424
ObjectId(5a4ab25e3a1bab5bf9fc2a70),true,false,false,false,,,,,,false,false,1343061321.1496222504
ObjectId(5a4ab25e3a1bab5bf9fc2a71),true,false,false,false,,,,,,false,false,1432335858.1496222557
ObjectId(5a4ab25e3a1bab5bf9fc2a72),true,false,false,false,,,,,,false,false,1041722927.1496294654
ObjectId(5a4ab25e3a1bab5bf9fc2a73),false,false,false,false,,,,,,false,false,1130643931.1496296144
ObjectId(5a4ab25e3a1bab5bf9fc2a74),true,false,false,false,,,,,,false,false,144118306.1496294499
ObjectId(5a4ab25e3a1bab5bf9fc2a75),false,false,false,false,,,,,,false,false,1661455835.1496343147
ObjectId(5a4ab25e3a1bab5bf9fc2a76),true,false,false,false,,,,,,false,false,1738034301.1496342166
ObjectId(5a4ab25e3a1bab5bf9fc2a77),false,false,false,false,,,,,,false,false,246587562.1496302134
ObjectId(5a4ab25e3a1bab5bf9fc2a78),true,false,false,false,,,,,,false,false,658343713.1496298681
ObjectId(5a4ab25e3a1bab5bf9fc2a79),true,false,false,false,,,,,,false,false,829963763.1496298199
ObjectId(5a4ab25e3a1bab5bf9fc2a7a),false,false,false,false,,,,,,false,false,405325655.1496398501
ObjectId(5a4ab25e3a1bab5bf9fc2a7b),true,false,false,false,,,,,,false,false,311141789.1496659586
ObjectId(5a4ab25e3a1bab5bf9fc2a7c),true,false,false,false,,,,,,false,false,1793378755.1496945441
ObjectId(5a4ab25e3a1bab5bf9fc2a7d),false,false,false,false,,,,,,false,false,1367827252.1497028134
ObjectId(5a4ab25e3a1bab5bf9fc2a7e),true,false,false,false,,,,,,false,false,1374127710.1497021989
ObjectId(5a4ab25e3a1bab5bf9fc2a7f),false,false,false,false,,,,,,false,false,1863982031.1497028824
ObjectId(5a4ab25e3a1bab5bf9fc2a80),false,false,false,false,,,,,,false,false,1992311403.1497000868
ObjectId(5a4ab25e3a1bab5bf9fc2a81),false,false,false,false,,,,,,false,false,2055849021.1497015069
ObjectId(5a4ab25e3a1bab5bf9fc2a82),true,false,false,false,,,,,,false,false,268939330.1497023161
ObjectId(5a4ab25e3a1bab5bf9fc2a83),false,false,false,false,,,,,,false,false,365638500.1497016149
ObjectId(5a4ab25e3a1bab5bf9fc2a84),false,false,false,false,,,,,,false,false,218873736.1497116293
ObjectId(5a4ab25e3a1bab5bf9fc2a85),true,false,false,false,,,,,,false,false,1458971112.1497282322
ObjectId(5a4ab25e3a1bab5bf9fc2a86),true,false,false,false,,,,,,false,false,2118907718.1497282080
ObjectId(5a4ab25e3a1bab5bf9fc2a87),true,false,false,false,,,,,,false,false,1452277031.1497364054
ObjectId(5a4ab25e3a1bab5bf9fc2a88),true,false,false,false,,,,,,false,false,1849971171.1497362224
ObjectId(5a4ab25e3a1bab5bf9fc2a89),true,false,false,false,,,,,,false,false,727338926.1497364393
ObjectId(5a4ab25e3a1bab5bf9fc2a8a),true,true,true,true,false,0,16,0,1,false,true,0f98c8d9-e66f-4406-82d4-bb2a3c06baa1
ObjectId(5a4ab25e3a1bab5bf9fc2a8b),false,false,false,false,,,,,,false,false,1805936987.1497455051
ObjectId(5a4ab25e3a1bab5bf9fc2a8c),false,false,false,false,,,,,,false,false,434757250.1497478039
ObjectId(5a4ab25e3a1bab5bf9fc2a8d),false,false,false,false,,,,,,false,false,446328204.1497414662
ObjectId(5a4ab25e3a1bab5bf9fc2a8e),true,false,false,false,,,,,,false,false,621908237.1497467921
ObjectId(5a4ab25e3a1bab5bf9fc2a8f),false,true,true,true,false,0,32,0,1,false,false,asdasdasd
ObjectId(5a4ab25e3a1bab5bf9fc2a90),true,true,true,true,false,0,7,0,1,false,false,c923c7ee-bba0-4295-b3c8-00f303f17cde
ObjectId(5a4ab25e3a1bab5bf9fc2a91),false,false,false,true,false,0,5,0,1,false,false,fc8c5605-f212-4873-9041-a7627601fa6c
ObjectId(5a4ab25e3a1bab5bf9fc2a92),false,false,false,false,,,,,,false,false,33113079.1497624407
ObjectId(5a4ab25e3a1bab5bf9fc2a93),true,false,false,false,,,,,,false,false,613226583.1497605022
ObjectId(5a4ab25e3a1bab5bf9fc2a94),false,false,false,false,,,,,,false,false,1499245900.1495584000
ObjectId(5a4ab25e3a1bab5bf9fc2a95),false,false,false,false,,,,,,false,false,11739783.1497773732
ObjectId(5a4ab25e3a1bab5bf9fc2a96),true,false,false,false,,,,,,false,false,1434011899.1497863669
ObjectId(5a4ab25e3a1bab5bf9fc2a97),false,false,false,false,,,,,,false,false,1544387845.1498030960
ObjectId(5a4ab25e3a1bab5bf9fc2a98),true,false,false,false,,,,,,false,false,454600045.1498028512
