app_key	app_version	build_nr	device_type	event	event_id	event_value	locale	remote_addr	screen	server_ts	timezone	ts	user-agent	user_id	uuid
dfe7477e650834992e8f4361d4236dd9	v4	3	desktop	select.functional_group	Ethers	false	de	213.168.78.22	1920x1080	1504274800	7200000	1504274800	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.101 Safari/537.36	dd116a4a-fcec-316c-9e55-f885210a3387	
dfe7477e650834992e8f4361d4236dd9	v4	3	desktop	select.mol_structure	Ethylmethylether	false	de	213.168.78.22	1920x1080	1504274802	7200000	1504274803	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.101 Safari/537.36	dd116a4a-fcec-316c-9e55-f885210a3387	
dfe7477e650834992e8f4361d4236dd9	v4	3	desktop	drop.mol_structure	Ethylmethylether	true	de	213.168.78.22	1920x1080	1504274807	7200000	1504274807	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.101 Safari/537.36	dd116a4a-fcec-316c-9e55-f885210a3387	
dfe7477e650834992e8f4361d4236dd9	v4	3	desktop	drop.mol_structure	Ethylmethylether	true	de	213.168.78.22	1920x1080	1504274809	7200000	1504274810	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.101 Safari/537.36	dd116a4a-fcec-316c-9e55-f885210a3387	
dfe7477e650834992e8f4361d4236dd9	v4	3	desktop	drop.mol_structure	Ethylmethylether	true	de	213.168.78.22	1920x1080	1504274811	7200000	1504274811	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.101 Safari/537.36	dd116a4a-fcec-316c-9e55-f885210a3387	
dfe7477e650834992e8f4361d4236dd9	v4	3	desktop	launch			de	213.168.78.22	1920x1080	1504279640	7200000	1504279640	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.101 Safari/537.36	dd116a4a-fcec-316c-9e55-f885210a3387	
dfe7477e650834992e8f4361d4236dd9	v4	3	desktop	select.compound	Ethanol	false	de	213.168.78.22	1920x1080	1504279655	7200000	1504279655	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.101 Safari/537.36	dd116a4a-fcec-316c-9e55-f885210a3387	
dfe7477e650834992e8f4361d4236dd9	v4	3	desktop	start	stage_3	Ethanol	de	213.168.78.22	1920x1080	1504279676	7200000	1504279676	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.101 Safari/537.36	dd116a4a-fcec-316c-9e55-f885210a3387	
dfe7477e650834992e8f4361d4236dd9	v4	3	desktop	drop.mol_structure	Ethanol	true	de	213.168.78.22	1920x1080	1504279681	7200000	1504279682	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.101 Safari/537.36	dd116a4a-fcec-316c-9e55-f885210a3387	
dfe7477e650834992e8f4361d4236dd9	v4	3	desktop	start	stage_2		de	213.168.78.22	1920x1080	1504267992	7200000	1504267992	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.101 Safari/537.36	dd116a4a-fcec-316c-9e55-f885210a3387	
