"event"	"event_id"	"event_value"
"reset.table"	"CaCl2"	"2"
"reset.table"	"HCl"	"F"
"reset.table"	"HCl"	"Br"
"reset.table"	"NaCl"	"0"
"reset.table"	"NaCl"	"Cl"
"reset.table"	"NaCl"	"Na"
"reset.table"	"CF4"	"F"
"reset.table"	"HCl"	"4"
"restart.lab"	"H2O"	"blue"
"restart.lab"	"KBr"	"blue"
"restart.lab"	"CH4"	"blue"
"restart.lab"	"CaCl2"	"18"
"restart.lab"	"NaCl"	"blue"
"restart.lab"	"H2O"	"red"
"restart.lab"	"CaCl2"	"red"
"restart.lab"	"NaF"	"blue"
"restart.lab"	"CF4"	"blue"
"restart.lab"	"HCl"	"blue"
"restart.lab"	"CH4"	"red"
"restart.lab"	"HCl"	"red"
"restart.lab"	"CF4"	"red"
"restart.lab"	"CaCl2"	"blue"
"select.molecule"	NA	NA
"select.molecule"	"KBr"	"4"
"select.molecule"	"H2O"	NA
"select.molecule"	"H2O"	"0"
"select.molecule"	"CF4"	"0"
"select.molecule"	"CH4"	"0"
"select.molecule"	"KBr"	"red"
"select.molecule"	"NaF"	"blue"
"select.molecule"	"CaCl2"	"blue"
"select.molecule"	"KBr"	"1"
"select.molecule"	"CH4"	"blue"
"select.molecule"	"NaCl"	"18"
"select.molecule"	"H2O"	"1"
"select.molecule"	"CaCl2"	"red"
"select.molecule"	"CF4"	"blue"
"select.molecule"	"NaCl"	"blue"
"select.molecule"	"H2O"	"blue"
"select.molecule"	"HCl"	"K"
"select.molecule"	"HCl"	"0"
"select.molecule"	"CH4"	"K"
"select.molecule"	"CH4"	NA
"select.molecule"	"CH4"	"1"
"select.molecule"	"NaF"	"0"
"select.molecule"	"H2O"	"Ca"
"select.molecule"	"NaF"	"F"
"select.molecule"	"HCl"	"C"
"select.molecule"	"CH4"	"C"
"select.molecule"	"KBr"	"Ca"
"select.molecule"	"CaCl2"	NA
"select.molecule"	"NaCl"	NA
"select.molecule"	"CF4"	NA
"select.molecule"	"HCl"	"blue"
"select.molecule"	"KBr"	"Cl"
"select.molecule"	"H2O"	"Cl"
"select.molecule"	"HCl"	"Cl"
"select.molecule"	"KBr"	"blue"
"select.molecule"	"CF4"	"Na"
"select.molecule"	"NaCl"	"Na"
"select.molecule"	"NaF"	"Na"
"select.molecule"	"CF4"	"Br"
"set.electron"	NA	NA
"set.electron"	"HCl"	"red"
"set.electron"	"HCl"	"blue"
"set.electron"	"H2O"	"blue"
"set.electron"	"H2O"	"red"
"set.electron"	"CaCl2"	"red"
"set.electron"	"KBr"	"red"
"set.electron"	"KBr"	"blue"
"set.electron"	"NaF"	"red"
"set.electron"	"NaF"	"blue"
"set.electron"	"CH4"	"red"
"set.electron"	"CH4"	"blue"
"set.electron"	"CaCl2"	"blue"
"set.electron"	"NaCl"	"blue"
"set.electron"	"CF4"	"blue"
"set.electron"	"CF4"	"red"
"set.electron"	"NaCl"	"red"
"start.lab"	NA	NA
